,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,jWTRQxyUqZEp7oc7D0JIDg,izakaya-ajimi-brooklyn,Izakaya Ajimi,https://s3-media3.fl.yelpcdn.com/bphoto/5KSbH9ytP0Glu-hmXnXPYw/o.jpg,False,https://www.yelp.com/biz/izakaya-ajimi-brooklyn?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,113,"[{'alias': 'izakaya', 'title': 'Izakaya'}, {'alias': 'ramen', 'title': 'Ramen'}]",4.5,"{'latitude': 40.6078260407584, 'longitude': -74.00217161294212}",[],$$,"{'address1': '8500 18th Ave', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11214', 'country': 'US', 'state': 'NY', 'display_address': ['8500 18th Ave', 'Brooklyn, NY 11214']}",,,11194.333139098599
1,Q5O4qFpmPQgBN6ZaHdQcZA,kyuramen-columbia-university-new-york,Kyuramen - Columbia University,https://s3-media1.fl.yelpcdn.com/bphoto/mjbQN-gtwqcCP2V4mUrW-g/o.jpg,False,https://www.yelp.com/biz/kyuramen-columbia-university-new-york?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,62,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.5,"{'latitude': 40.8027, 'longitude': -73.96809}","['pickup', 'delivery']",$$,"{'address1': '2787 Broadway', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10026', 'country': 'US', 'state': 'NY', 'display_address': ['2787 Broadway', 'New York, NY 10026']}",+19172658722,(917) 265-8722,10687.925125298922
2,n1xpGOPa7XRq4or7QLjzHw,dokodemo-new-york,DokoDemo,https://s3-media3.fl.yelpcdn.com/bphoto/TfxdAKRmVw__xFwDUjigqA/o.jpg,False,https://www.yelp.com/biz/dokodemo-new-york?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,382,"[{'alias': 'teppanyaki', 'title': 'Teppanyaki'}, {'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",4.5,"{'latitude': 40.72638, 'longitude': -73.98964}","['pickup', 'delivery']",$,"{'address1': '89 E 4th St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['89 E 4th St', 'New York, NY 10003']}",+19172615228,(917) 261-5228,2333.602379660555
3,Cg5kGSXIelsKX9eqlHr31A,kyuramen-union-square-new-york,Kyuramen - Union Square,https://s3-media1.fl.yelpcdn.com/bphoto/iTau766v_gilH7O7L_gPRQ/o.jpg,False,https://www.yelp.com/biz/kyuramen-union-square-new-york?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,561,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'japacurry', 'title': 'Japanese Curry'}]",4.5,"{'latitude': 40.73310125993799, 'longitude': -73.9866958494115}","['restaurant_reservation', 'delivery']",$$,"{'address1': '210 E 14th St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['210 E 14th St', 'New York, NY 10003']}",+16466924120,(646) 692-4120,2972.93244753479
4,7OMGEtFWT6sdd9TVuoGqJQ,okonomi-brooklyn,Okonomi,https://s3-media2.fl.yelpcdn.com/bphoto/AA9rsmxAa6hZcTCVZnxaUw/o.jpg,False,https://www.yelp.com/biz/okonomi-brooklyn?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,512,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.5,"{'latitude': 40.712622, 'longitude': -73.9487843}","['pickup', 'delivery']",$$,"{'address1': '150 Ainslie St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['150 Ainslie St', 'Brooklyn, NY 11211']}",+19292950480,(929) 295-0480,2638.3266052173485
5,i8h1ghJN7NdZmvIE3T6-yg,kyuramen-long-island-city-long-island-city,Kyuramen - Long Island City,https://s3-media3.fl.yelpcdn.com/bphoto/qtjTY8pwv49wi5O1jCLqQw/o.jpg,False,https://www.yelp.com/biz/kyuramen-long-island-city-long-island-city?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,146,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'japacurry', 'title': 'Japanese Curry'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.5,"{'latitude': 40.7494198, 'longitude': -73.9402295}","['restaurant_reservation', 'pickup', 'delivery']",$$,"{'address1': '27-17 42nd Rd', 'address2': '', 'address3': None, 'city': 'Long Island City', 'zip_code': '11101', 'country': 'US', 'state': 'NY', 'display_address': ['27-17 42nd Rd', 'Long Island City, NY 11101']}",+17187866918,(718) 786-6918,5748.874825767797
6,gbj8XtadaqoKXgiawaUjdw,pasta-ramen-montclair,Pasta Ramen,https://s3-media1.fl.yelpcdn.com/bphoto/RmwzcUxrfQm-Mbr2QNgabA/o.jpg,False,https://www.yelp.com/biz/pasta-ramen-montclair?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,73,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'ramen', 'title': 'Ramen'}]",4.5,"{'latitude': 40.8135267, 'longitude': -74.217865}",[],,"{'address1': '6 S Fullerton Ave', 'address2': None, 'address3': None, 'city': 'Montclair', 'zip_code': '07042', 'country': 'US', 'state': 'NJ', 'display_address': ['6 S Fullerton Ave', 'Montclair, NJ 07042']}",+19733376956,(973) 337-6956,23334.035073410378
7,AsCEdN4DlJsfIvA3H_jrAw,tenho-ramen-new-york-4,Tenho Ramen,https://s3-media3.fl.yelpcdn.com/bphoto/prHo77sGaiNBcJSk6Q27ZQ/o.jpg,False,https://www.yelp.com/biz/tenho-ramen-new-york-4?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,187,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.5,"{'latitude': 40.74717, 'longitude': -73.97728}","['pickup', 'delivery']",$$,"{'address1': '542 3rd Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10016', 'country': 'US', 'state': 'NY', 'display_address': ['542 3rd Ave', 'New York, NY 10016']}",+16467819025,(646) 781-9025,4472.061849881275
8,gPdLcLmIFGsztd3TuuMTNQ,tamashii-gold-queens,Tamashii Gold,https://s3-media2.fl.yelpcdn.com/bphoto/hD8v6dm_JmGDo4T24Cn_KQ/o.jpg,False,https://www.yelp.com/biz/tamashii-gold-queens?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,109,"[{'alias': 'ramen', 'title': 'Ramen'}]",4.0,"{'latitude': 40.7640128, 'longitude': -73.7709259}","['pickup', 'delivery']",$$,"{'address1': '40-9 Bell Blvd', 'address2': None, 'address3': '', 'city': 'Queens', 'zip_code': '11361', 'country': 'US', 'state': 'NY', 'display_address': ['40-9 Bell Blvd', 'Queens, NY 11361']}",+15182673787,(518) 267-3787,18658.08820687662
9,L3reOLLPez7lnOhyfCpvkg,shinka-ramen-and-sake-bar-new-york-3,Shinka Ramen & Sake Bar,https://s3-media2.fl.yelpcdn.com/bphoto/Fd0aINDXZ6PSh1eGNyifiQ/o.jpg,False,https://www.yelp.com/biz/shinka-ramen-and-sake-bar-new-york-3?adjust_creative=9BAjizMPYaYyhAnCCDAymA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9BAjizMPYaYyhAnCCDAymA,431,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 40.7170795322745, 'longitude': -73.9952574670315}","['pickup', 'delivery']",$$,"{'address1': '93 Bowery St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10002', 'country': 'US', 'state': 'NY', 'display_address': ['93 Bowery St', 'New York, NY 10002']}",+12123438111,(212) 343-8111,1759.6640687947345
